CS1,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Beta,Nobecovirus,-1.86,-3.89,-8.89,-6.43,-3.94,-12.61,-5,-1.19,-6.51,-2.37,-5.33,-2.97,-7.03,0.55,3,14.32,44.43,0.51,-5.14,5.19,-9.99,8.43,1.66,6.43
Beta,Sarbecovirus,19.15,1.23,0.55,-2.9,-1.38,4.36,5.35,9.18,5.33,3.46,5.85,-4.55,1.15,26.42,11.29,1.69,0.51,39.9,21.53,7.36,14.65,15.94,7.52,-0.65
Gamma,Brangacovirus,15,0.8,1,0,-1,21.29,7,4.33,13.79,8.4,1.33,1.2,-2.05,20.04,3,-0.83,-5.14,21.53,49,3.33,29.45,14,14.23,17
Gamma,Cegacovirus,17.33,2.73,6.17,11.22,2.33,7.19,17.33,11.44,20.24,10.67,3.67,13.2,0.37,8.86,1.33,9.75,5.19,7.36,3.33,59.89,10.18,5.33,12.18,1.33
Gamma,Igacovirus,19.55,7.03,6.81,5.58,6.57,19.8,12.53,9.6,13.57,16.15,7.41,9.55,6.36,13.08,0.19,-3.67,-9.99,14.65,29.45,10.18,38.65,5,6.76,3.89
Delta,Andecovirus,21,-3.8,6.9,-2,-8,0.43,7,6,2.07,6.4,-0.67,-2.2,-6.68,14.09,7,4.83,8.43,15.94,14,5.33,5,52,10,11
Delta,Buldecovirus,3.62,-10.58,-4.93,4.1,-8.15,0.38,2,4.54,0.27,-4.82,-7.9,1.97,-14.3,10.49,3.23,7.34,1.66,7.52,14.23,12.18,6.76,10,32.12,10.38
Delta,Herdecovirus,0,-2.2,-1.6,-5.67,-9,3.29,6,1.33,9,-2.2,-0.67,0.8,-10.11,6.96,-2,0.29,6.43,-0.65,17,1.33,3.89,11,10.38,54
,,,,,,,,,,,,,,,,,,,,,,,,,
PLpro,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Colacovirus,8769,4218.04,3471.34,2238.33,2340.37,4127.11,3614.8,3983,4674.8,3448.12,3586.9,1911.52,2223.61,1006.55,1126,1016.33,884.53,1034.55,905.4,891.87,953.1,755.8,751.49,682
